Id,R,Name,Team,Year,Pv,Mv,Fm,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,last_name,first_initial,merge_key
1926,P,Di Gennaro,Inter,2024,0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,Inter,0.0,0.0,0.0,0.0,Di Gennaro,R,Di Gennaro
1930,P,Pinsoglio,Juventus,2024,0,0.0,0.0,1.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,Juventus,0.0,0.0,0.0,0.0,Pinsoglio,C,Pinsoglio
2178,P,Cragno,Monza,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2211,P,Silvestri,Udinese,2024,0,0.0,0.0,17.0,1530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,Udinese,0.0,0.0,1.9688830319792032,1.9688830319792032,Silvestri,M,Silvestri
2297,P,Rossi F.,Atalanta,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2401,P,Fruchtl,Lecce,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2722,P,Ravaglia F.,Bologna,2024,0,0.0,0.0,6.0,538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,Bologna,0.0,0.0,1.5675542280077934,1.5675542280077934,Ravaglia,F,Ravaglia F.
2809,P,Vigorito,Como,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2845,P,Contini,Napoli,2024,0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,Napoli,0.0,0.0,0.3447420299053192,0.3447420299053192,Contini,N,Contini
4351,P,Brancolini,Empoli,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
4491,P,Berardi A.,Verona,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
4929,P,Ciocci,Cagliari,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
5304,P,Boer,Roma,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
5320,P,Paleari,Torino,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
5338,P,Rinaldi,Parma,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
5384,P,Ryan,Roma,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
5521,P,Bertinato,Venezia,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
5822,P,Bagnolini,Bologna,2024,0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,Bologna,0.0,0.0,0.0,0.0,Bagnolini,N,Bagnolini
5853,P,Sorrentino A.,Monza,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
6184,P,Martinelli T.,Fiorentina,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
6210,P,Popa,Torino,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
6248,P,Stankovic F.,Venezia,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
